"Qty","Reference","Value","PARTNO","DK","LCSC","ALT1"
"1","C1","0.022uF","GRM155R71H223KA12J","490-6360-1-ND","",""
"1","C2","0.1uF","CC0805KRX7R9BB104","311-1140-1-ND","",""
"1","C3","4.7uF","GRM21BR61H475ME51L","490-14663-1-ND","",""
"1","C4","100uF","A768KE107M1VLAE036","399-A768KE107M1VLAE036CT-ND","",""
"1","C7","4.7nF","GRM155R71E472KA01D","490-1309-1-ND","",""
"3","C8,C10,C12","1uF","TMK107B7105KA-T","587-2984-1-ND","",""
"1","C9","4.7uF","GRM155R61A475MEAAD","490-14306-1-ND","",""
"1","C11","2.2nF","490-8257-1-ND","490-8257-1-ND","",""
"28","C13,C21,C22,C23,C24,C32,C99,C100,C101,C104,C105,C106,C107,C108,C109,C110,C168,C169,C170,C201,C202,C203,C234,C235,C236,C267,C268,C269","0.1uF","KGM05AR71C104KH","478-KGM05AR71C104KHCT-ND","C307331",""
"1","C14","1000pF","CC0805KRX7R9BB102","311-1127-1-ND","",""
"2","C15,C33","100pF","CC0402JRNPO9BN101","311-1024-1-ND","",""
"6","C16,C17,C18,C19,C20,C25","68uF","C3216X5R1A686M160AC","445-14673-1-ND","",""
"89","C26,C90,C98,C102,C103,C111,C112,C113,C115,C116,C117,C118,C119,C120,C122,C156,C157,C159,C160,C161,C162,C163,C164,C174,C175,C176,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C207,C208,C209,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C240,C241,C242,C246,C247,C248,C249,C250,C251,C252,C253,C254,C255,C256,C257,C258,C259,C260,C261,C262,C263,C273,C274,C275","1uF","EMK105BJ105MV-F","587-5514-1-ND","C52923",""
"8","C27,C28,C29,C30,C31,C34,C35,C36","22uF","GRM32ER61E226KE15L","490-3889-1-ND","",""
"3","C37,C38,C39","47uF","GRM32ER61C476KE15L","490-6539-1-ND","",""
"2","C96,C97","30pF","GRM1555C1H300JA01D","490-5935-1-ND","C1570",""
"12","C177,C178,C179,C210,C211,C212,C243,C244,C245,C276,C277,C278","100uF","CL31A107MQHNNNE","1276-1782-1-ND","C15008",""
"1","D1","SMBJ30CA","SMBJ30CA","SMBJ30CALFCT-ND","",""
"1","D5","SMAJ6.0A","SMBJP6KE6.8A-TP","SMBJP6KE6.8A-TPMSCT-ND","",""
"2","J1,J2","Screw Terminal","7790","36-7790-ND","",""
"1","J6","USB_C_Receptacle_USB2.0","USB4105-GF-A","2073-USB4105-GF-ACT-ND","C2988369",""
"1","L1","740nH","XAL1580-741MED","2457-XAL1580-741MED-ND","",""
"1","Q1","NVMFS5C645NLAFT1G","NVMFS5C645NLAFT1G","488-NVMFS5C645NLAFT1GCT-ND","",""
"3","R1,R19,R20","4.7k","RC0402FR-074K7L","311-4.7KLRCT-ND","",""
"4","R2,R55,R64,R69","1k","RC0402FR-071KL","311-1.00KLRCT-ND","C106235",""
"2","R4,R5","10k","RC0402JR-0710KL","311-10KJRCT-ND","",""
"1","R6","10","RC0402FR-0710RL","311-10.0LRCT-ND","",""
"1","R7","1","ESR10EZPJ1R0","RHM1KTR-ND","",""
"4","R8,R9,R61,R70","49.9","RC0402FR-0749R9L","311-49.9LRCT-ND","",""
"61","R12,R13,R14,R15,R16,R53,R54,R57,R58,R59,R60,R62,R63,R65,R75,R79,R83,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R135,R136,R137,R138","33","RC0402FR-0733RL","311-33.0LRCT-ND","C25105",""
"12","R17,R56,R85,R86,R87,R103,R104,R105,R121,R122,R123,R134","2k","RC0402FR-072KL","311-2KLRCT-ND","C60488",""
"3","R18,R35,R50","10k","RC0402FR-0710KL","311-10.0KLRCT-ND","C25744",""
"1","R34","49.9k","RC0402FR-0749K9L","311-49.9KLRCT-ND","",""
"2","R51,R52","5.1k","RMCF0402JT5K10","RMCF0402JT5K10CT-ND","C25905",""
"2","SW1,SW2","GT-TC029B-H025-L1N","CS1213AGF260","2449-CS1213AGF260CT-ND","",""
"1","U1","AP74700Q","AP74700QW6-7","31-AP74700QW6-7CT-ND","",""
"1","U2","TPS546D24S","TPS546D24SRVFR","296-TPS546D24SRVFRCT-ND","",""
"1","U3","TPS22919DCKR","TPS22919DCKR","296-TPS22919DCKRCT-ND","",""
"1","U4","SN74AVC4T774","SN74AVC4T774PWR","296-24739-1-ND","",""
"1","U5","25MHz","SX3M25.000E20F30THN","5852-SX3M25.000E20F30THNTR-ND","C5137262",""
"1","U6","TMP1075","TMP1075DGKR","296-TMP1075DGKRCT-ND","",""
"1","U8","W25Q16JVUXIQ TR","W25Q16JVUXIQ TR","256-W25Q16JVUXIQTRCT-ND","C2843335",""
"1","U9","SK6812","SK6812SIDE-A-RVS","1528-4691-ND-$$$$$","C2890037",""
"1","U10","TLV1117LV33DCYR","TLV1117LV33DCYR","296-28778-1-ND","",""
"2","U11,U12","TPD1E05U06DYA","TPD1E05U06DYAR","296-TPD1E05U06DYARCT-ND","",""
"1","U13","TMP451HQDQWRQ1","TMP451HQDQWRQ1","296-TMP451HQDQWRQ1CT-ND","",""
