Ref,Val,Package,PosX,PosY,Rot,Side
"C23","0.1uF","C_0402_1005Metric",231.238955,-168.332732,0.000000,bottom
"C111","1uF","C_0402_1005Metric",136.860545,-161.241142,-90.000000,bottom
"C112","1uF","C_0402_1005Metric",137.568045,-174.916142,-90.000000,bottom
"C113","1uF","C_0402_1005Metric",137.450545,-188.666142,-90.000000,bottom
"C115","1uF","C_0402_1005Metric",136.850545,-163.491142,90.000000,bottom
"C116","1uF","C_0402_1005Metric",137.588045,-177.156142,90.000000,bottom
"C117","1uF","C_0402_1005Metric",137.460545,-190.956142,90.000000,bottom
"C118","1uF","C_0402_1005Metric",137.860545,-155.876142,-90.000000,bottom
"C119","1uF","C_0402_1005Metric",137.630545,-169.816142,-90.000000,bottom
"C120","1uF","C_0402_1005Metric",137.810545,-182.886142,-90.000000,bottom
"C122","1uF","C_0402_1005Metric",137.860545,-158.136142,90.000000,bottom
"C156","1uF","C_0402_1005Metric",137.628045,-172.081142,90.000000,bottom
"C157","1uF","C_0402_1005Metric",137.820545,-185.141142,90.000000,bottom
"C159","1uF","C_0402_1005Metric",142.550545,-162.736142,90.000000,bottom
"C160","1uF","C_0402_1005Metric",142.320545,-175.936142,90.000000,bottom
"C161","1uF","C_0402_1005Metric",142.240545,-190.941142,90.000000,bottom
"C162","1uF","C_0402_1005Metric",143.550545,-162.736142,90.000000,bottom
"C163","1uF","C_0402_1005Metric",143.350545,-176.586142,90.000000,bottom
"C164","1uF","C_0402_1005Metric",143.320545,-190.941142,90.000000,bottom
"C168","0.1uF","C_0402_1005Metric",154.690000,-153.465000,-90.000000,bottom
"C169","0.1uF","C_0402_1005Metric",152.220000,-166.390000,-90.000000,bottom
"C170","0.1uF","C_0402_1005Metric",152.040000,-180.260000,-90.000000,bottom
"C174","1uF","C_0402_1005Metric",153.630000,-153.465000,-90.000000,bottom
"C175","1uF","C_0402_1005Metric",153.265000,-166.390000,-90.000000,bottom
"C176","1uF","C_0402_1005Metric",153.085000,-180.260000,-90.000000,bottom
"C177","100uF","C_1206_3216Metric",156.440000,-153.465000,-90.000000,bottom
"C178","100uF","C_1206_3216Metric",142.945545,-167.066142,-90.000000,bottom
"C179","100uF","C_1206_3216Metric",154.740545,-179.986142,-90.000000,bottom
"C180","1uF","C_0402_1005Metric",158.910545,-185.176142,-90.000000,bottom
"C181","1uF","C_0402_1005Metric",158.610545,-171.361142,-90.000000,bottom
"C182","1uF","C_0402_1005Metric",159.043045,-153.501142,-90.000000,bottom
